type,n,rt_mean,rt_median,rt_sd,rt_trimmed_mean,rt_trimmed_median,accuracy
pseudoword,1548750,1011.8769355932204,803,3092.5871443136857,934.098684505519,797,0.9418970137207425
word,1548750,906.9545937046004,717,45505.32024283357,816.933513519157,715,0.9297840193704601
