Stimulus,N,Raw_Mean,BLUP,condition
Album,37,6.44699875814725,6.4729518555327,words_only
Alchemie,32,6.63736079028385,6.68798713966122,words_only
Alchemist,34,6.63351032554623,6.61926178334611,words_only
Alfa,15,6.87178782358387,6.83535821763141,words_only
Algebra,33,6.65268315744732,6.64847523868616,words_only
Algerienkrieg,25,7.06230080274649,7.03609846338209,words_only
Algerier,22,6.96974277991202,6.92748513253888,words_only
Algerierin,27,7.07296154692459,7.03218264288905,words_only
Algorithmus,41,6.56276114239346,6.57036628561557,words_only
Alibi,34,6.71257804685249,6.70250677514552,words_only
Alkali,12,7.14255352344491,7.02971069855031,words_only
Alkohol,38,6.38058611871356,6.4164372237342,words_only
Alkoholausschank,36,6.91252956759369,6.92124287089814,words_only
Alkoholentzug,38,6.87416271687641,6.81849595134294,words_only
Alkoholgehalt,37,6.64854645705638,6.63773911814918,words_only
Alkoholiker,41,6.50130784129697,6.53336527108272,words_only
Alkoholikerin,37,6.56435339350562,6.56232195768968,words_only
Alkoholismus,37,6.58601890678567,6.56426972486664,words_only
Alkoholkonsum,45,6.55855635094367,6.59017381974472,words_only
Alkoholproblem,40,6.68215825319185,6.66200588239502,words_only
Alkoholspiegel,39,6.56753883441966,6.60648212436163,words_only
Alkoholsucht,41,6.48567820456313,6.49898184358488,words_only
Alkoholsünder,34,6.75394445644223,6.78769161876618,words_only
Alkoholtest,39,6.58150843431365,6.6080502097932,words_only
Alkoholverbot,43,6.62324672591694,6.60727373163192,words_only
Alkoholvergiftung,37,6.67185147295236,6.65642459528989,words_only
Alkoven,5,7.07274517658121,6.90254924256654,words_only
Allee,37,6.54015450147986,6.49031939452846,words_only
Allegorie,21,6.78942079212624,6.83538019084924,words_only
Alleineigentümer,36,6.96871398377128,6.96904505218519,words_only
Alleinerbe,36,6.81051829070648,6.79947103962075,words_only
Alleinerziehende,37,6.68374522152507,6.65857604141498,words_only
Alleinflug,40,6.6463959159973,6.63784384787585,words_only
Alleingang,37,6.5444753980658,6.57949126185381,words_only
Alleinherrschaft,42,6.80176268908185,6.79052945434786,words_only
Alleinsein,39,6.64365442865836,6.67628774269042,words_only
Alleinunterhalter,39,6.92838650249467,6.92599249456951,words_only
Allergie,38,6.42716617198074,6.47119120787181,words_only
Allergiker,40,6.67470835305009,6.67567585709985,words_only
Allerletzte,36,6.6560099003604,6.6941368501508,words_only
